Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Tina,movie,"Biography, Documentary, Music",2021,7.9,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, PT, RO, RS, SI, SK, US"
Cooking Up Christmas,movie,"Comedy, Family, Romance",2020,6.1,US
El Planeta,movie,"Comedy, Drama",2021,6.3,US
Mirreyes vs Godinez Home Office,movie,Comedy,2020,5.6,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Inquietos,movie,,2020,,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Looking for Venera,movie,Drama,2021,6.4,"BA, BG, HR, ME, MK, RS, SI"
LasseMajas detektivbyrå - Skorpionens gåta,movie,"Adventure, Comedy, Crime",2022,5.2,"DK, FI, NO, SE"
The Méliès Mystery,movie,"Biography, Documentary",2021,7.5,US
Other People,movie,"Drama, Music",2021,6.6,PL
A Trip with Your Wife,movie,Comedy,2021,6.4,"HK, ID, MY, PH, SG, TH, TW"
Letters to Santa 4,movie,Comedy,2021,5.1,PL
When the Sun Sets,movie,"Drama, Short",2021,7.2,US
Lily Topples the World,movie,Documentary,2021,7.4,US
Sister,movie,Drama,2021,6.6,"HK, ID, MY, PH, SG, TH, TW"
Pure,movie,"Drama, Short",2021,6.9,US
Los buenos modales,movie,"Comedy, Drama",2023,6.1,"AD, ES"
The Great Lillian Hall,movie,Drama,2024,7.4,US
Sidney Poitier: One Bright Light,movie,"Biography, Documentary, History",2000,7.8,US
Révolution Sida,movie,Documentary,2022,,"FR, MC"
Film o filmu V síti,movie,Documentary,2021,,"CZ, SK"
Adam the First,movie,Drama,2024,6.0,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Julia,movie,"Biography, Documentary",2021,7.6,US
Chevalier,movie,"Biography, Drama, History",2022,6.5,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
A Cinderella Story: Starstruck,movie,"Comedy, Drama, Family",2021,5.5,US
Princess Cut,movie,"Crime, Short",2020,5.1,US
Cracked,movie,"Drama, Short",2021,8.3,US
When You Clean a Stranger's Home,movie,Drama,2020,,US
Generation Por Qué?,movie,Comedy,2021,6.8,US
Nichols and May: Take Two,movie,"Biography, Documentary, History",1996,7.4,US
Dreamland: The Burning of Black Wall Street,movie,Documentary,2021,7.2,US
Rebels @ School,movie,Comedy,2021,6.1,NL
The Devil Wears Prada Live: ZII UNDEADSTREAM,movie,Music,2021,,"AD, ES, PT, US"
"Scooby-Doo, Where Are You Now!",movie,"Animation, Family, Short",2021,6.0,"HK, ID, MY, PH, SG, TH, TW"
Homeland,movie,Drama,2023,,PT
Primera,movie,Documentary,2021,5.4,US
Oscar Micheaux: The Superhero of Black Filmmaking,movie,"Biography, Documentary, History",2021,7.1,US
Burn All My Letters,movie,"Drama, History",2022,6.2,"DK, FI, NO, SE"
Mass Ave,movie,"Drama, Short",2021,6.3,US
The Housewives of the North Pole,movie,"Comedy, Family, Music",2021,5.5,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Unimundo 45,movie,"Comedy, Short",2018,6.8,US
Problemista,movie,Comedy,2023,6.8,US
Two Many Chefs,movie,Comedy,2022,6.0,"BA, BG, HR, HU, MD, ME, MK, PL, RO, RS, SI"
Things Worth Weeping For,movie,"Comedy, Drama",2021,5.7,HU
Candy Coated Christmas,movie,"Comedy, Romance",2021,5.8,US
Fireboys,movie,Documentary,2021,6.8,US
Max Steiner: Maestro of Movie Music,movie,"Biography, Documentary, Music",2019,7.8,US
Nadia,movie,"Biography, Documentary",2021,6.4,"HK, ID, MY, PH, SG, TH, TW"
My Dead Dad,movie,Drama,2021,5.5,US
Candela,movie,"Drama, Thriller",2021,7.2,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Swimsuit,movie,Drama,2021,,US
The Lord of the Rings,movie,"Adventure, Animation, Fantasy",1978,6.2,US
Being John Malkovich,movie,"Comedy, Drama, Fantasy",1999,7.7,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Spring of Life,movie,"Drama, History, Romance",2000,6.6,"CZ, SK"
Joker: Folie à Deux,movie,"Drama, Musical, Thriller",2024,5.2,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Fantastic Beasts: A Natural History,movie,Documentary,2022,6.6,SE
Sunnyside,movie,"Comedy, Short",1919,6.6,US
